metric,latest_value,min_value,max_value,mean_value,status
accuracy,0.6821333333333334,0.6608,0.6821333333333334,0.6714666666666667,amber
avg_brier_score,0.2062746720590935,0.2062746720590935,0.2204183137345106,0.2149906360088969,red
avg_ece,0.0911575749477564,0.0911575749477564,0.1265438081954298,0.1114308939693988,red
avg_f1,0.5053639360364935,0.4942079142403388,0.5053639360364935,0.5008928808396104,amber
avg_pr_auc,0.4358102557552523,0.4139737647282087,0.4358102557552523,0.4216988988512014,red
avg_precision,0.3870394981279831,0.3766518462248834,0.3870394981279831,0.3822240809998421,red
avg_recall,0.755153645857813,0.755153645857813,0.7679237833823709,0.7595142825212106,green
avg_roc_auc,0.6548825906909572,0.6415722502405045,0.6548825906909572,0.6465492664317893,amber
balanced_accuracy,0.6978286781900294,0.6622812072537132,0.6978286781900294,0.6825433263473327,amber
brier_score,0.1630172228459761,0.161324329402457,0.2276947797010354,0.18540348027331496,red
coefficient_of_variation,0.0091497928449767,0.0091497928449767,0.1132261750792228,0.03346821883802438,red
delta_avg_brier_score_vs_static,0.0,0.0,0.0141436416754171,0.008715963949803333,red
delta_avg_ece_vs_static,0.0,0.0,0.0353862332476734,0.020273319021642398,red
delta_avg_f1_vs_static,0.0,-0.0111560217961547,0.0,-0.0044710551968832,red
delta_avg_pr_auc_vs_static,0.0,-0.0218364910270436,0.0,-0.014111356904050932,red
delta_avg_precision_vs_static,0.0,-0.0103876519030996,0.0,-0.004815417128140966,red
delta_avg_recall_vs_static,0.0,0.0,0.0127701375245579,0.0043606366633974665,red
delta_avg_roc_auc_vs_static,0.0,-0.0133103404504527,0.0,-0.0083333242591678,red
delta_balanced_accuracy_vs_original,0.0127969682172353,0.0,0.0127969682172353,0.00639848410861765,red
delta_brier_score_vs_original,0.001128501405513,0.0,0.001128501405513,0.0005642507027565,red
delta_ece,0.0655371940128981,-0.0006789086515079,0.0655371940128981,0.015343461521123234,red
delta_ece_vs_original,0.0093033257640918,0.0,0.0093033257640918,0.0046516628820459,red
delta_f1,-0.06271017263161,-0.06271017263161,0.0,-0.022734095703708785,red
delta_f1_vs_original,0.0146983839582097,0.0,0.0146983839582097,0.00734919197910485,red
delta_pr_auc_vs_original,-0.0219962625717941,-0.0219962625717941,0.0,-0.01099813128589705,red
delta_precision_vs_original,0.0134869832190772,0.0,0.0134869832190772,0.0067434916095386,red
delta_recall,-0.2643923240938166,-0.2643923240938166,0.0,-0.050935797204453875,red
delta_recall_vs_original,0.0149253731343284,0.0,0.0149253731343284,0.0074626865671642,red
delta_roc_auc_vs_original,0.0050317403027536,0.0,0.0050317403027536,0.0025158701513768,red
delta_vs_random_brier_score,0.065839275648571,0.0,0.065839275648571,0.0329196378242855,red
delta_vs_random_ece,0.12883501599431,0.0,0.12883501599431,0.064417507997155,red
delta_vs_random_f1,-0.0860112708326902,-0.0860112708326902,0.0,-0.0430056354163451,red
delta_vs_random_pr_auc,-0.1380184395905117,-0.1380184395905117,0.0,-0.06900921979525584,red
delta_vs_random_precision,-0.1201848838580356,-0.1201848838580356,0.0,-0.0600924419290178,red
delta_vs_random_recall,0.1140288511293504,0.0,0.1140288511293504,0.0570144255646752,red
delta_vs_random_roc_auc,-0.1486783712960697,-0.1486783712960697,0.0,-0.07433918564803485,red
ece,0.0472245236254307,0.0289400179601811,0.2147322778381482,0.10800899502223245,green
error_rate,0.3178666666666666,0.3178666666666666,0.3391999999999999,0.32853333333333323,red
f1,0.5355987055016181,0.0042194092827004,0.5355987055016181,0.3893871545164794,amber
false_negative,145.0,145.0,157.0,151.0,green
false_negative_rate,0.3091684434968017,0.3091684434968017,0.3347547974413646,0.32196162046908317,red
false_positive,451.0,451.0,479.0,465.0,green
false_positive_rate,0.3207681365576102,0.3207681365576102,0.3406827880512091,0.3307254623044097,red
max,0.7596995210899374,0.0489140864063927,0.7596995210899374,0.4548324544186535,green
max_abs_brier_score_gap,0.0611279452262036,0.0611279452262036,0.1321143682807539,0.1028604192661265,red
max_abs_ece_gap,0.137413545859348,0.0441596499742416,0.137413545859348,0.09447142582488695,red
max_abs_f1_gap,0.2115506529732471,0.1469573515378404,0.4952380952380952,0.3280435965375078,red
max_abs_positive_rate_gap,0.157274074074074,0.157274074074074,0.1981102119460501,0.17319786072295415,red
max_abs_pr_auc_gap,0.2252900069950286,0.1148562041219354,0.3422188865641534,0.22870191856191427,red
max_abs_precision_gap,0.2756598240469208,0.1483870967741934,0.5483870967741935,0.31929104675893144,red
max_abs_recall_gap,0.3009304128707114,0.1645667765070749,0.6652452025586354,0.4130807003941332,red
mean,0.7484104826406477,0.0415257657438509,0.7484104826406477,0.43906280620786314,amber
mean_abs_brier_score_gap,0.0313159600318495,0.0313159600318495,0.0595752914770976,0.04757734071071573,red
mean_abs_ece_gap,0.0664425944010419,0.0273001503110903,0.0664425944010419,0.04527634659515135,red
mean_abs_f1_gap,0.1391048125174921,0.0815339127253036,0.1978772642142237,0.1249070893850532,red
mean_abs_positive_rate_gap,0.0748934972417162,0.0748934972417162,0.0986756480497808,0.08700415775095897,red
mean_abs_pr_auc_gap,0.1205602850284734,0.0849141013202552,0.1205602850284734,0.1070073347914658,red
mean_abs_precision_gap,0.1183308275287026,0.0581312124568391,0.1892836196062002,0.10980725062038083,red
mean_abs_recall_gap,0.1493694256755761,0.0846424211941453,0.3313887442862134,0.19041344355738773,red
min,0.7416911075591357,0.0362206451251323,0.7416911075591357,0.42589200357115464,amber
negative_predictive_value,0.8681818181818182,0.8551660516605166,0.8681818181818182,0.8616739349211674,green
periods,2.0,2.0,2.0,2.0,green
positive_rate,0.2501333333333333,0.2501333333333333,0.2501333333333333,0.2501333333333333,red
positive_rate_predicted,0.4090666666666667,0.0016,0.9882666666666666,0.3546345056119722,red
positive_rate_true,0.2501333333333333,0.2495991448423303,0.2720470336718332,0.25066782112952074,red
pr_auc,0.4723369260357696,0.3498145036414821,0.4953589279165478,0.4563495831273496,red
precision,0.4315514993481095,0.2,0.8333333333333334,0.44960656550326006,red
range,0.0180084135308017,0.0073122939815385,0.0549622901590434,0.02894045084749883,red
recall,0.7057569296375267,0.0021321961620469,1.0,0.5258262285696832,amber
roc_auc,0.7489763638624596,0.5954017119167756,0.7489763638624596,0.7235475041343483,amber
rows,1875.0,1871.0,1875.0,1874.8095238095239,green
specificity,0.6792318634423897,0.6593172119487909,0.6792318634423897,0.6692745376955903,amber
std,0.006847800879171,0.0023721696244307,0.0179183430438173,0.0094245022542561,red
subgroups,9.0,5.0,9.0,6.666666666666667,green
test_rows,1871.0,1871.0,1871.0,1871.0,green
threshold,0.25,0.25,0.25,0.25,red
train_rows,7483.0,7483.0,7483.0,7483.0,green
true_negative,955.0,927.0,955.0,941.0,green
true_positive,324.0,312.0,324.0,318.0,green
