model,kpi,value,source_table,status,threshold,scenario,degradation_type,degradation_rate,split_type,strategy,metric,subgroup_feature
logistic_regression,rows,1875.0,model_metrics,green,,,,,,,,
random_forest,rows,1875.0,model_metrics,green,,,,,,,,
logistic_regression,positive_rate,0.2501333333333333,model_metrics,red,,,,,,,,
random_forest,positive_rate,0.2501333333333333,model_metrics,red,,,,,,,,
logistic_regression,precision,0.3944374209860936,model_metrics,red,,,,,,,,
random_forest,precision,0.5483870967741935,model_metrics,amber,,,,,,,,
logistic_regression,recall,0.6652452025586354,model_metrics,amber,,,,,,,,
random_forest,recall,0.2899786780383795,model_metrics,red,,,,,,,,
logistic_regression,f1,0.4952380952380952,model_metrics,red,,,,,,,,
random_forest,f1,0.3793584379358438,model_metrics,red,,,,,,,,
logistic_regression,pr_auc,0.4109374466717152,model_metrics,red,,,,,,,,
random_forest,pr_auc,0.4943331886075637,model_metrics,red,,,,,,,,
logistic_regression,brier_score,0.2191371338795311,model_metrics,red,,,,,,,,
random_forest,brier_score,0.1618887214404631,model_metrics,red,,,,,,,,
logistic_regression,ece,0.2147322778381482,model_metrics,red,,,,,,,,
random_forest,ece,0.0363211978613389,model_metrics,green,,,,,,,,
logistic_regression,roc_auc,0.7034692924323718,model_metrics,amber,,,,,,,,
random_forest,roc_auc,0.7439446235597059,model_metrics,amber,,,,,,,,
logistic_regression,rows,1875.0,advanced_model_metrics,green,0.5,,,,,,,
random_forest,rows,1875.0,advanced_model_metrics,green,0.25,,,,,,,
logistic_regression,true_positive,312.0,advanced_model_metrics,green,0.5,,,,,,,
random_forest,true_positive,324.0,advanced_model_metrics,green,0.25,,,,,,,
logistic_regression,true_negative,927.0,advanced_model_metrics,green,0.5,,,,,,,
random_forest,true_negative,955.0,advanced_model_metrics,green,0.25,,,,,,,
logistic_regression,false_positive,479.0,advanced_model_metrics,green,0.5,,,,,,,
random_forest,false_positive,451.0,advanced_model_metrics,green,0.25,,,,,,,
logistic_regression,false_negative,157.0,advanced_model_metrics,green,0.5,,,,,,,
random_forest,false_negative,145.0,advanced_model_metrics,green,0.25,,,,,,,
logistic_regression,positive_rate_true,0.2501333333333333,advanced_model_metrics,red,0.5,,,,,,,
random_forest,positive_rate_true,0.2501333333333333,advanced_model_metrics,red,0.25,,,,,,,
logistic_regression,positive_rate_predicted,0.4218666666666666,advanced_model_metrics,red,0.5,,,,,,,
random_forest,positive_rate_predicted,0.4133333333333333,advanced_model_metrics,red,0.25,,,,,,,
logistic_regression,accuracy,0.6608,advanced_model_metrics,amber,0.5,,,,,,,
random_forest,accuracy,0.6821333333333334,advanced_model_metrics,amber,0.25,,,,,,,
logistic_regression,error_rate,0.3391999999999999,advanced_model_metrics,red,0.5,,,,,,,
random_forest,error_rate,0.3178666666666666,advanced_model_metrics,red,0.25,,,,,,,
