model,bin,bin_lower,bin_upper,rows,mean_predicted_probability,observed_positive_rate,calibration_gap,bin_weight
logistic_regression,1,0.0,0.1,22,0.06737557474430055,0.0,-0.06737557474430055,0.011733333333333333
logistic_regression,2,0.1,0.2,142,0.16129148669038193,0.06338028169014084,-0.09791120500024109,0.07573333333333333
logistic_regression,3,0.2,0.30000000000000004,218,0.25690781860312095,0.0871559633027523,-0.16975185530036865,0.11626666666666667
logistic_regression,4,0.30000000000000004,0.4,325,0.3502709791251009,0.17846153846153845,-0.17180944066356246,0.17333333333333334
logistic_regression,5,0.4,0.5,377,0.4521294449561724,0.1883289124668435,-0.2638005324893289,0.20106666666666667
logistic_regression,6,0.5,0.6000000000000001,338,0.550047528701037,0.3431952662721893,-0.2068522624288477,0.18026666666666666
logistic_regression,7,0.6000000000000001,0.7000000000000001,237,0.6481092929426601,0.39662447257383965,-0.2514848203688204,0.1264
logistic_regression,8,0.7000000000000001,0.8,151,0.7451994620992332,0.46357615894039733,-0.2816233031588358,0.08053333333333333
logistic_regression,9,0.8,0.9,60,0.8377609513444377,0.5166666666666667,-0.321094284677771,0.032
logistic_regression,10,0.9,1.0,5,0.9263701572984836,0.2,-0.7263701572984835,0.0026666666666666666
random_forest,1,0.0,0.1,641,0.040871884100151655,0.0967238689547582,0.05585198485460654,0.34186666666666665
random_forest,2,0.1,0.2,315,0.14906558439718348,0.15555555555555556,0.0064899711583720765,0.168
random_forest,3,0.2,0.30000000000000004,287,0.250389336453125,0.24738675958188153,-0.003002576871243473,0.15306666666666666
random_forest,4,0.30000000000000004,0.4,222,0.3496829387000042,0.3738738738738739,0.024190935173869665,0.1184
random_forest,5,0.4,0.5,165,0.44600581710001813,0.42424242424242425,-0.021763392857593877,0.088
random_forest,6,0.5,0.6000000000000001,116,0.5447200836555856,0.47413793103448276,-0.07058215262110279,0.06186666666666667
random_forest,7,0.6000000000000001,0.7000000000000001,70,0.6475233768222401,0.4714285714285714,-0.17609480539366873,0.037333333333333336
random_forest,8,0.7000000000000001,0.8,42,0.7520795726723613,0.7857142857142857,0.03363471304192445,0.0224
random_forest,9,0.8,0.9,14,0.8399279118364139,0.7857142857142857,-0.05421362612212821,0.007466666666666667
random_forest,10,0.9,1.0,3,0.9159603320320603,0.6666666666666666,-0.24929366536539366,0.0016
