row_index,worlds,mean_probability,std_probability,min_probability,max_probability,probability_range,baseline_probability
20,20,0.4699999999999999,0.0,0.47,0.47,0.0,0.47
26,20,0.25,0.0,0.25,0.25,0.0,0.25
39,20,0.045,0.0,0.045,0.045,0.0,0.045
67,20,0.41,0.0,0.41,0.41,0.0,0.41
97,20,0.43,0.0,0.43,0.43,0.0,0.43
98,20,0.05,0.0,0.05,0.05,0.0,0.05
116,20,0.325,0.0,0.325,0.325,0.0,0.325
134,20,0.09,0.0,0.09,0.09,0.0,0.09
162,20,0.44000000000000006,0.0,0.44,0.44,0.0,0.44
164,20,0.12,0.0,0.12,0.12,0.0,0.12
184,20,0.185,0.0,0.185,0.185,0.0,0.185
186,20,0.05500000000000001,0.0,0.055,0.055,0.0,0.055
187,20,0.23000000000000004,0.0,0.23,0.23,0.0,0.23
198,20,0.11000000000000001,0.0,0.11,0.11,0.0,0.11
200,20,0.595,0.0,0.595,0.595,0.0,0.595
209,20,0.1333009995859703,0.0,0.1333009995859703,0.1333009995859703,0.0,0.1333009995859703
212,20,0.335,0.0,0.335,0.335,0.0,0.335
225,20,0.485,0.0,0.485,0.485,0.0,0.485
226,20,0.315,0.0,0.315,0.315,0.0,0.315
239,20,0.445,0.0,0.445,0.445,0.0,0.445
255,20,0.24,0.0,0.24,0.24,0.0,0.24
264,20,0.05,0.0,0.05,0.05,0.0,0.05
295,20,0.01,0.0,0.01,0.01,0.0,0.01
305,20,0.15,0.0,0.15,0.15,0.0,0.15
309,20,0.11500000000000002,0.0,0.115,0.115,0.0,0.115
310,20,0.045,0.0,0.045,0.045,0.0,0.045
314,20,0.145,0.0,0.145,0.145,0.0,0.145
331,20,0.185,0.0,0.185,0.185,0.0,0.185
332,20,0.10500000000000001,0.0,0.105,0.105,0.0,0.105
340,20,0.04,0.0,0.04,0.04,0.0,0.04
343,20,0.02,0.0,0.02,0.02,0.0,0.02
350,20,0.02,0.0,0.02,0.02,0.0,0.02
363,20,0.275,0.0,0.275,0.275,0.0,0.275
391,20,0.21000000000000002,0.0,0.21,0.21,0.0,0.21
395,20,0.01,0.0,0.01,0.01,0.0,0.01
430,20,0.535,0.0,0.535,0.535,0.0,0.535
443,20,0.305,0.0,0.305,0.305,0.0,0.305
446,20,0.225,0.0,0.225,0.225,0.0,0.225
463,20,0.23376133938100324,0.0,0.2337613393810032,0.2337613393810032,0.0,0.2337613393810032
485,20,0.225,0.0,0.225,0.225,0.0,0.225
490,20,0.12,0.0,0.12,0.12,0.0,0.12
